Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
AMOREPACIFIC,https://www.sephora.com/product/the-essential-icons-P428093?icid2=products%20grid:p428093:product,The Essential Icons,$72.00 ,
tarte,https://www.sephora.com/product/brazilliance-tm-plus-self-tanner-mitt-P407616?icid2=products%20grid:p407616:product,Brazilliance? PLUS+ Self-Tanner + Mitt,$39.00 ,Exclusive
Moroccanoil,https://www.sephora.com/product/moisture-shine-travel-kit-P416559?skuId=1906262&icid2=products%20grid:p416559:product,Moisture & Shine Travel Kit,$26.00 ,Online Only
Anastasia Beverly Hills,https://www.sephora.com/product/moonchild-glow-kit-P41983035?icid2=products%20grid:p41983035:product,Moonchild Glow Kit,$40.00 ,
Giorgio Armani Beauty,https://www.sephora.com/product/acqua-di-gio-pour-homme-set-P437014?icid2=products%20grid:p437014:product,Acqua Di Gio Pour Homme Set,$89.00 ,Limited Edition
lancome,https://www.sephora.com/product/la-vie-est-belle-passions-gift-set-P436770?icid2=products%20grid:p436770:product,La Vie Est Belle Passions Gift Set,$95.00 ,Limited Edition
philosophy,https://www.sephora.com/product/festival-ready-kit-P428933?icid2=products%20grid:p428933:product,Festival Ready Kit,$39.00 ,Limited edition
NAILS INC.,https://www.sephora.com/product/nail-porn-duo-P436272?icid2=products%20grid:p436272:product,Nail Porn Nail Polish Duo,$15.00 ,Limited Edition
Clarisonic,https://www.sephora.com/product/poreless-skin-holiday-gift-set-mia-smart-x-kiehl-s-P436914?icid2=products%20grid:p436914:product,Poreless Skin Holiday Gift Set: Mia Smart x Kiehl's,$199.00 ,Limited Edition
Benefit Cosmetics,https://www.sephora.com/product/confection-cuties-P436410?icid2=products%20grid:p436410:product,Confection Cuties Set,$19.00 ,LimitedEdition
Versace,https://www.sephora.com/product/bright-crystal-gift-set-P435311?icid2=products%20grid:p435311:product,Bright Crystal Gift Set,$99.00 ,Limited Edition
clinique,https://www.sephora.com/product/cleansing-by-clinique-P436639?icid2=products%20grid:p436639:product,Cleansing by Clinique,$89.50 ,Limited edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/killawatt-foil-freestyle-highlighter-palette-P37378513?icid2=products%20grid:p37378513:product,Killawatt Foil Freestyle Highlighter Palette,$54.00 ,Limited Edition
